Título,Autor,Ano,Tipo,Prioridade,Status,Disponivel,Categoria,Motivacao,Nota,Data_Leitura,Score
O Monge e o Executivo,James C. Hunter,1998,Não Técnico,3 - Média-Alta,1,,Liderança & Pensamento Estratégico,Aprender sobre liderança servidora e seus princípios.,,,23
Interseccionalidade,Carla Akotirene,2019,Não Técnico,4 - Alta,1,,Justiça Social & Interseccionalidade,Compreender as múltiplas camadas de opressão e privilégio e sua relevância para a justiça social.,,,24
Getting Things Done,David Allen,2001,Não Técnico,3 - Média-Alta,1,,Produtividade,,,,18
"Armas, Germes e Aço",Jared Diamond,1997,Não Técnico,2 - Média,1,,Cosmologia & Fronteiras da Ciência,Entender como a geografia e o ambiente moldaram as sociedades humanas.,,,22
O Gene Egoísta,Richard Dawkins,1976,Não Técnico,2 - Média,1,,Cosmologia & Fronteiras da Ciência,Perspectiva da evolução centrada nos genes.,,,22
A Origem das Espécies,Charles Darwin,1859,Não Técnico,2 - Média,1,,Cosmologia & Fronteiras da Ciência,Fundamentos da teoria da evolução e da biologia moderna.,,,22
Cosmos,Carl Sagan,1980,Não Técnico,2 - Média,1,,Cosmologia & Fronteiras da Ciência,Explorar o universo e a ciência de forma poética e inspiradora.,,,22
Assim Falou Zaratustra,Friedrich Nietzsche,1883,Não Técnico,2 - Média,1,,Conhecimento geral,"Explorar conceitos de super-homem, vontade de potência e eterno retorno.",,,22
O Andar do Bêbado,Leonard Mlodinow,2008,Não Técnico,2 - Média,1,,Cosmologia & Fronteiras da Ciência,Compreender o papel do acaso e da probabilidade na vida.,,,22
Decifrando Arquiteturas de Dados,,0,Técnico,2 - Média,1,,Análise de Dados,,,,17
Data Strategy,Bernard Marr,2017,Técnico,3 - Média-Alta,1,,Negócios,Pense como uma estrategista de dados.,,,22
Lean Analytics,"Alistair Croll, Benjamin Yoskovitz",2013,Técnico,3 - Média-Alta,1,,Estatística & Incerteza,Cresça mais rápido com dados e foco.,,,22
Frankenstein,Mary Shelley,1818,Não Técnico,2 - Média,1,Estante,Épicos & Ficção Reflexiva,"Pioneiro da ficção científica, reflexão sobre criação e responsabilidade.",,,19
A Garota no Trem,Paula Hawkins,2015,Não Técnico,2 - Média,1,Estante,História/Ficção,Thriller psicológico moderno,,,22
Assassinato no Expresso do Oriente,Agatha Christie,1934,Não Técnico,2 - Média,1,Estante,Épicos & Ficção Reflexiva,Um dos casos mais famosos de Poirot,,,19
Confissões de Arsène Lupin,Maurice Leblanc,1913,Não Técnico,2 - Média,1,Estante,Épicos & Ficção Reflexiva,Clássico francês do crime e mistério,,,19
Contra Herlock Sholmes,Maurice Leblanc,1910,Não Técnico,2 - Média,1,Estante,Épicos & Ficção Reflexiva,Paródia divertida de Sherlock Holmes,,,19
Morte na Mesopotâmia,Agatha Christie,1936,Não Técnico,2 - Média,1,Estante,Épicos & Ficção Reflexiva,Clássico do mistério e suspense,,,19
Morte no Nilo,Agatha Christie,1937,Não Técnico,2 - Média,1,Estante,Épicos & Ficção Reflexiva,Ambientação exótica e trama intrigante,,,19
O Ladrão de Casaca,Maurice Leblanc,1907,Não Técnico,2 - Média,1,Estante,Épicos & Ficção Reflexiva,Primeiras aventuras do lendário Arsène Lupin,,,19
O Verdadeiro Retorno de Arsène Lupin,Takashi Morita,2013,Não Técnico,2 - Média,1,Estante,História/Ficção,Releitura moderna de um clássico ladrão de casaca,,,22
Oliver Twist,Charles Dickens,1838,Não Técnico,2 - Média,1,Estante,Épicos & Ficção Reflexiva,Clássico da crítica social inglesa,,,19
O homem e seus símbolos, Carl G. Jung,2016,Não Técnico,1 - Baixa,1,,Comunicação,,,,15
Os Bilhões de Arsène Lupin,Takashi Morita,2013,Não Técnico,2 - Média,1,Estante,História/Ficção,História cheia de ação e reviravoltas,,,22
Três Ratos Cegos,Agatha Christie,1950,Não Técnico,2 - Média,1,Estante,Épicos & Ficção Reflexiva,Mistério envolvente com reviravoltas,,,19
Wild Cards - O Começo de Tudo,George R. R. Martin (org.),1987,Não Técnico,2 - Média,1,Estante,História/Ficção,Super-heróis realistas em universo alternativo,,,19
The Art of Statistics,David Spiegelhalter,2019,Técnico,1 - Baixa,1,,Estatística & Incerteza,Explora o pensamento estatístico e como interpretar dados no mundo real. Fundamentos estatísticos com clareza,,,21
The Book of Why,"Judea Pearl, Dana Mackenzie",2018,Técnico,1 - Baixa,1,,Estatística & Incerteza,"Explora o conceito de causalidade e inferência causal, indo além da correlação. Causalidade e inferência em ciência de dados",,,21
Too Big to Ignore,Phil Simon,2013,Técnico,1 - Baixa,1,,Conhecimento geral,Argumenta a importância estratégica dos dados e como eles se tornam uma vantagem competitiva. Dados como vantagem competitiva,,,21
"Estatística, Probabilidade e Aprendizado de Máquina,",Máiron C. S. Chaves,0,Técnico,1 - Baixa,1,,Machine learning,,,,16
Pattern Recognition and Machile Learning,Christopher M. Bishop,0,Técnico,1 - Baixa,1,,Machine learning,,,,16
Statistics: A Very Short Introduction,David J. Hand,2008,Técnico,1 - Baixa,1,,Estatística & Incerteza,Conceitos essenciais de estatística de forma concisa e clara. Conceitos estatísticos de forma resumida,,,21
Peopleware,"Tom DeMarco, Timothy Lister",1987,Técnico,1 - Baixa,1,,Liderança,"Gestão de equipes de desenvolvimento de software, cultura e produtividade. Soft skills para devs",,,21
Python Data Science Handbook,Jake VanderPlas,2016,Técnico,2 - Média,1,PDF,Artesanato de Software (Clean Code),Excelência técnica na linguagem base para engenharia de dados e IA.,,,22
O Dilema da Inovação,Clayton M. Christensen,1997,Técnico,1 - Baixa,1,,Conhecimento geral,Explora por que grandes empresas falham ao inovar e como as inovações disruptivas surgem. Entender o mercado de tecnologia,,,21
The Coming Wave,"Michael Bhaskar and Mustafa Suleyma
",2023,Técnico,2 - Média,1,,Sistemas de IA & LLMs,,,,23
Speech and Language Processing,,0,Técnico,1 - Baixa,1,,Machine learning,,,,16
Dynamics of Software Development,Jim McCarthy,1995,Técnico,1 - Baixa,1,,Inteligência emocional,Como construir uma cultura de equipe produtiva e eficaz em projetos de desenvolvimento. Cultura de times,,,21
Design Patterns,Erich Gamma et al.,1994,Técnico,3 - Média-Alta,1,,Arquitetura,Use soluções clássicas para problemas recorrentes de software.,,,21
Guia Politicamente Incorreto da História do Brasil,Leandro Narloch,2009,Não Técnico,1 - Baixa,1,Estante,Sistemas de IA & LLMs,Visão alternativa da história brasileira,,,19
Guia Politicamente Incorreto da História do Mundo,Leandro Narloch,2011,Não Técnico,1 - Baixa,1,Estante,Sistemas de IA & LLMs,História com visão crítica e provocadora,,,19
Practical Statistics for Data Scientists,"Peter Bruce, Andrew Bruce",2017,Técnico,2 - Média,1,,Estatística & Incerteza,,,,22
Alan Turing: Suas Máquinas e Seus Segredos,"Sílvia Amélia Bim, Silvio Luiz Bragatto Boss",2017,Técnico,1 - Baixa,1,,IA,Biografia e análise das contribuições de Alan Turing para a computação e IA. História da Computação e IA,,,20
"Mente, Cérebro e Ciência",John Searle,1984,Técnico,1 - Baixa,1,,Sistemas de IA & LLMs,"Aborda a filosofia da mente, consciência e a relação entre mente e cérebro, com foco em IA. Fundamentos de IA e Filosofia da Mente",,,20
Meditações,Marco Aurélio,0,Não Técnico,2 - Média,1,,Biohacking & Existência,"Reflexões sobre virtude, razão e tranquilidade interior.",,,20
A Cura Quântica,Deepak Chopra,1989,Não Técnico,2 - Média,1,,Biohacking & Existência,"Explorar a conexão entre mente, corpo e espírito na cura.",,,20
O Poder da Gratidão,Louise Hay,2008,Não Técnico,2 - Média,1,,Biohacking & Existência,Cultivar a gratidão para promover a saúde e a felicidade.,,,20
A Magia,Rhonda Byrne,2012,Não Técnico,2 - Média,1,,Biohacking & Existência,Praticar a gratidão para transformar a vida.,,,20
O Segredo,Rhonda Byrne,2006,Não Técnico,2 - Média,1,,Biohacking & Existência,"Descobrir o ""segredo"" para manifestar desejos e alcançar objetivos.",,,20
A Lei da Atração,Michael J. Losier,2007,Não Técnico,2 - Média,1,,Desenvolvimento pessoal,Compreender e aplicar os princípios da Lei da Atração.,,,20
O Poder do Agora na Prática,Eckhart Tolle,2001,Não Técnico,2 - Média,1,,Biohacking & Existência,Exercícios práticos para aplicar os ensinamentos de O Poder do Agora.,,,20
A Arte da Felicidade,"Dalai Lama, Howard C. Cutler",1998,Não Técnico,2 - Média,1,,Biohacking & Existência,Buscar a felicidade através da sabedoria budista.,,,20
A Morte é um Dia que Vale a Pena Viver,Ana Claudia Quintana Arantes,2016,Não Técnico,2 - Média,1,,Sistemas de IA & LLMs,Refletir sobre a vida e a finitude de forma leve e profunda.,,,20
Pratical MLOps,"Noah Gift, Alfredo Deza",2021,Técnico,2 - Média,1,PDF,Engenharia de ML & MLOps,,,,20
O Cérebro de Buda,Rick Hanson,2009,Não Técnico,2 - Média,1,,Biohacking & Existência,Aplicar a neurociência para cultivar a felicidade e a resiliência.,,,20
O Conto da Aia,Margaret Atwood,1985,Não Técnico,2 - Média,1,,Épicos & Ficção Reflexiva,"Reflexão sobre opressão, gênero e controle social.",,,22
Wuthering Heights,Emily Brontë,1847,Não Técnico,2 - Média,1,,Épicos & Ficção Reflexiva,"Romance intenso sobre paixão, vingança e tragédia.",,,22
Beloved,Toni Morrison,1987,Não Técnico,2 - Média,1,,História/Ficção,Explora os traumas da escravidão e a busca por liberdade.,,,22
A Hora da Estrela,Clarice Lispector,1977,Não Técnico,2 - Média,1,,Literatura Brasileira Clássica,"Reflexão sobre a condição humana e a existência, com estilo único.",,,20
Drácula,Bram Stoker,1897,Não Técnico,2 - Média,1,,História/Ficção,"Clássico do terror gótico, explora o bem e o mal.",,,22
Noite,Elie Wiesel,1960,Não Técnico,2 - Média,1,,História/Ficção,Testemunho impactante sobre a experiência no campo de concentração.,,,22
Jane Eyre,Charlotte Brontë,1847,Não Técnico,2 - Média,1,,História/Ficção,Romance gótico sobre independência feminina e superação.,,,22
A Metamorfose,Franz Kafka,1915,Não Técnico,2 - Média,1,,Épicos & Ficção Reflexiva,Crítica à burocracia e à alienação na sociedade moderna.,,,22
O herói e o fora da lei: Como construir marcas extraordinárias usando o poder dos arquétipos, Carol S. Pearson,2022,Não Técnico,1 - Baixa,1,,Sistemas de IA & LLMs,Explorar a fronteira tecnológica e seus impactos na sociedade.,,,17
Essencialismo: A Disciplinada Busca por Menos,Greg McKeown,2014,Não Técnico,2 - Média,1,,Sistemas de IA & LLMs,Focar no que é essencial e eliminar o que não é para maior produtividade e clareza.,,,20
Mindset: A Nova Psicologia do Sucesso,Carol S. Dweck,2006,Não Técnico,2 - Média,1,,Arquitetura da Mente (Mindset),Compreender a diferença entre mentalidade fixa e de crescimento e como isso afeta o sucesso.,,,20
O Mito do Empreendedor,Michael E. Gerber,1986,Não Técnico,3 - Média-Alta,1,,Negócios,Entender os desafios de gerenciar um negócio e evitar armadilhas comuns.,,,20
Data science handbook,Jake Klamka,2020,Técnico,2 - Média,1,PDF,Estatística & Incerteza,"The Data Science Handbook is a compilation of in-depth interviews with 25 remarkable data scientists, where they share their insights, stories, and advice.",,,22
Padrões para Kubernetes,Bilgin Ibryam,2019,Técnico,1 - Baixa,1,,MLOps,Melhores práticas e padrões de design para construir e operar aplicações em Kubernetes. Melhores práticas para arquitetura em nuvem,,,19
Data Mesh: Delivering Data-Driven Value at Scale,Zhamak Dehghani,2022,Técnico,1 - Baixa,1,,Engenharia de dados,A nova abordagem descentralizada de dados.,,,19
Fundamentals of Data Engineering,"Joe Reis, Matt Housley",2022,Técnico,1 - Baixa,1,,Engenharia de ML & MLOps,Construa base sólida em engenharia de dados moderna.,,,19
Beginning Microsoft Power BI,Dan Clark,2020,Técnico,1 - Baixa,1,,Estatística & Incerteza,Guia prático para usar o Power BI na análise e visualização de dados. Ferramenta essencial para análise de dados,,,19
Business unIntelligence,Barry Devlin,2013,Técnico,1 - Baixa,1,,Análise de Dados,Crítica à inteligência de negócios tradicional e propõe uma evolução para um BI mais estratégico. Para visão estratégica de dados,,,19
Como Criar uma Mente: Os segredos do pensamento humano,Raymond Kurzweil,2012,Técnico,1 - Baixa,1,,Sistemas de IA & LLMs,Explora como o cérebro humano funciona e a possibilidade de replicá-lo artificialmente. IA e MLOps,,,19
Emotion Machine,Marvin Minsky,2006,Técnico,1 - Baixa,1,,MLOps,Teoria sobre como a mente humana funciona e como as emoções são construídas. IA e MLOps,,,19
Homo Deus: Uma Breve História do Amanhã,Yuval Noah Harari,2015,Não Técnico,1 - Baixa,1,,Cosmologia & Fronteiras da Ciência,Refletir sobre o futuro da humanidade e o impacto da tecnologia.,,,19
A Ciência De Como Não Estar Errado,Jordan Ellenberg,0,Técnico,1 - Baixa,1,,Sistemas de IA & LLMs,Explorar a fronteira tecnológica e seus impactos na sociedade.,,,14
Dados e storytelling de impacto,Brent Dykes,0,Técnico,1 - Baixa,1,,Análise de Dados,,,,14
"Estatística: O que é, para que serve",Charles Wheelan,0,Técnico,1 - Baixa,1,,Estatística & Incerteza,,,,14
Factfulness,Hans Rosling,0,Técnico,1 - Baixa,1,,Análise de Dados,,,,14
O Andar do Bêbado,Leonard Mlodinow,0,Técnico,1 - Baixa,1,,Cosmologia & Fronteiras da Ciência,,,,14
Uma Senhora Toma um Chá,David Salsburg,0,Técnico,1 - Baixa,1,,Análise de Dados,,,,14
Do Mil ao Milhão: Sem Cortar o Cafezinho,Thiago Nigro,2018,Não Técnico,2 - Média,1,,Liberdade Econômica & Finanças,Aprender sobre investimentos e finanças pessoais de forma prática e acessível.,,,19
